Team For,Team Against,Week Number,Matchup Type,Points For,Points Against
Mixon It Up,Give Breece a Chance,1,REGULAR_SEASON,138.38,124.4
Give Breece a Chance,Mixon It Up,1,REGULAR_SEASON,124.4,138.38
Double J's,Pukakke,1,REGULAR_SEASON,126.2,118.22
Pukakke,Double J's,1,REGULAR_SEASON,118.22,126.2
Waddle you doin step bro,Chubbless,1,REGULAR_SEASON,135.74,105.18
Chubbless,Waddle you doin step bro,1,REGULAR_SEASON,105.18,135.74
Tagovailove,Eastbound and Brown,1,REGULAR_SEASON,156.64,139.48
Eastbound and Brown,Tagovailove,1,REGULAR_SEASON,139.48,156.64
Jahmyrror Image's ,Jake n' Jordan,1,REGULAR_SEASON,132.38,149.68
Jake n' Jordan,Jahmyrror Image's ,1,REGULAR_SEASON,149.68,132.38
Mixon It Up,Tagovailove,2,REGULAR_SEASON,132.2,172.76
Tagovailove,Mixon It Up,2,REGULAR_SEASON,172.76,132.2
Double J's,Waddle you doin step bro,2,REGULAR_SEASON,180.77,132.26
Waddle you doin step bro,Double J's,2,REGULAR_SEASON,132.26,180.77
Give Breece a Chance,Jahmyrror Image's ,2,REGULAR_SEASON,166.52,110.84
Jahmyrror Image's ,Give Breece a Chance,2,REGULAR_SEASON,110.84,166.52
Pukakke,Chubbless,2,REGULAR_SEASON,145.98,156.44
Chubbless,Pukakke,2,REGULAR_SEASON,156.44,145.98
Eastbound and Brown,Jake n' Jordan,2,REGULAR_SEASON,120.6,164.54
Jake n' Jordan,Eastbound and Brown,2,REGULAR_SEASON,164.54,120.6
Mixon It Up,Jahmyrror Image's ,3,REGULAR_SEASON,136.14,147.94
Jahmyrror Image's ,Mixon It Up,3,REGULAR_SEASON,147.94,136.14
Double J's,Chubbless,3,REGULAR_SEASON,154.66,120.14
Chubbless,Double J's,3,REGULAR_SEASON,120.14,154.66
Waddle you doin step bro,Pukakke,3,REGULAR_SEASON,188.54,128.04
Pukakke,Waddle you doin step bro,3,REGULAR_SEASON,128.04,188.54
Give Breece a Chance,Eastbound and Brown,3,REGULAR_SEASON,163.06,135.52
Eastbound and Brown,Give Breece a Chance,3,REGULAR_SEASON,135.52,163.06
Tagovailove,Jake n' Jordan,3,REGULAR_SEASON,195.56,153.94
Jake n' Jordan,Tagovailove,3,REGULAR_SEASON,153.94,195.56
Mixon It Up,Eastbound and Brown,4,REGULAR_SEASON,150,131.46
Eastbound and Brown,Mixon It Up,4,REGULAR_SEASON,131.46,150
Double J's,Jake n' Jordan,4,REGULAR_SEASON,151.6,158.59
Jake n' Jordan,Double J's,4,REGULAR_SEASON,158.59,151.6
Waddle you doin step bro,Tagovailove,4,REGULAR_SEASON,146.26,119.6
Tagovailove,Waddle you doin step bro,4,REGULAR_SEASON,119.6,146.26
